Store Name,Customer #,Billing Document #,Billing Document Date,PO #,Season Description,Billing Document Type,Billing Document Status,Total,Delivery #
BANNER'S  HALLMARK SHOP 61,1000055874,5059116980,10/30/2025,,CHRISTMAS,Invoice,OPEN,$19.20,4013213752
BANNER'S  HALLMARK SHOP 61,1000055874,5059116981,10/30/2025,,CHRISTMAS,Invoice,OPEN,$51.00,4013270159
BANNER'S  HALLMARK SHOP 61,1000055874,5058845583,10/27/2025,OMNI-SFS,,Credit Memo,PAID,"$-4,102.64",
BANNER'S  HALLMARK SHOP 61,1000055874,5058845584,10/27/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-255.65,
BANNER'S  HALLMARK SHOP 61,1000055874,5058845585,10/27/2025,R001897425,,Credit Memo,OPEN,$-620.59,
BANNER'S  HALLMARK SHOP 61,1000055874,5058845587,10/27/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-34.87,
BANNER'S  HALLMARK SHOP 61,1000055874,5058709943,10/24/2025,VIP KIT,CHRISTMAS,Invoice,OPEN,$315.00,4013160982
BANNER'S  HALLMARK SHOP 61,1000055874,5058713965,10/24/2025,RTLR CUSTOMIZED MKTG,,Debit Memo,OPEN,$62.82,
BANNER'S  HALLMARK SHOP 61,1000055874,5058633564,10/22/2025,,CHRISTMAS,Invoice,OPEN,$482.72,4013213753
BANNER'S  HALLMARK SHOP 61,1000055874,5058377175,10/20/2025,R001896310,,Credit Memo,OPEN,$-887.98,
BANNER'S  HALLMARK SHOP 61,1000055874,5058377180,10/20/2025,OMNI-SFS,,Credit Memo,OPEN,$-616.86,
BANNER'S  HALLMARK SHOP 61,1000055874,5058377184,10/20/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-109.87,
BANNER'S  HALLMARK SHOP 61,1000055874,5058377189,10/20/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-343.01,
BANNER'S  HALLMARK SHOP 61,1000055874,5058242034,10/17/2025,VIP KIT,CHRISTMAS,Invoice,OPEN,$945.00,4013160986
BANNER'S  HALLMARK SHOP 61,1000055874,5058177654,10/16/2025,10/2025 GC FEE,,Debit Memo,PAID,$475.00,
BANNER'S  HALLMARK SHOP 61,1000055874,5058115560,10/15/2025,RTLR CUSTOMIZED MKTG,,Debit Memo,OPEN,$672.36,
BANNER'S  HALLMARK SHOP 61,1000055874,5058174714,10/15/2025,,CHRISTMAS,Invoice,OPEN,$44.96,4013150005
BANNER'S  HALLMARK SHOP 61,1000055874,5058026031,10/14/2025,,CHRISTMAS,Invoice,OPEN,$234.00,4013149878
BANNER'S  HALLMARK SHOP 61,1000055874,5057905603,10/13/2025,OMNI-SFS,,Credit Memo,OPEN,"$-1,501.89",
BANNER'S  HALLMARK SHOP 61,1000055874,5057905606,10/13/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-89.24,
BANNER'S  HALLMARK SHOP 61,1000055874,5057905610,10/13/2025,R001895193,,Credit Memo,OPEN,"$-1,450.03",
BANNER'S  HALLMARK SHOP 61,1000055874,5057959268,10/13/2025,,CHRISTMAS,Invoice,OPEN,$680.00,4013138464
BANNER'S  HALLMARK SHOP 61,1000055874,5057661964,10/08/2025,,CHRISTMAS,Invoice,OPEN,$124.00,4013077822
BANNER'S  HALLMARK SHOP 61,1000055874,5057571014,10/07/2025,,HLWN EID(RAMADN),Invoice,OPEN,$8.00,4013069182
BANNER'S  HALLMARK SHOP 61,1000055874,5057467403,10/06/2025,OMNI-SFS,,Credit Memo,OPEN,$-530.90,
BANNER'S  HALLMARK SHOP 61,1000055874,5057467408,10/06/2025,R001894075,,Credit Memo,OPEN,$-234.58,
BANNER'S  HALLMARK SHOP 61,1000055874,5057467413,10/06/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-47.99,
BANNER'S  HALLMARK SHOP 61,1000055874,5057333796,10/03/2025,,EVERYDAY,Invoice,OPEN,$290.74,4013020577
BANNER'S  HALLMARK SHOP 61,1000055874,5057333797,10/03/2025,,EVERYDAY,Invoice,OPEN,$144.00,4013020577
BANNER'S  HALLMARK SHOP 61,1000055874,5057333800,10/03/2025,,EVERYDAY,Invoice,OPEN,"$6,680.51",4013020577
BANNER'S  HALLMARK SHOP 61,1000055874,5057333980,10/03/2025,,EVERYDAY,Invoice,OPEN,$25.29,4013065703
BANNER'S  HALLMARK SHOP 61,1000055874,5057336359,10/03/2025,,HANUKKAH,Invoice,OPEN,"$3,308.61",4013020576
BANNER'S  HALLMARK SHOP 61,1000055874,5057336360,10/03/2025,,CHRISTMAS,Invoice,OPEN,$599.00,4013030521
BANNER'S  HALLMARK SHOP 61,1000055874,5057336361,10/03/2025,,CHRISTMAS,Invoice,OPEN,$9.00,4013032002
BANNER'S  HALLMARK SHOP 61,1000055874,5057399585,10/03/2025,,CHRISTMAS,Invoice,OPEN,"$8,162.24",4013020574
BANNER'S  HALLMARK SHOP 61,1000055874,5057269728,10/02/2025,,CHRISTMAS,Invoice,OPEN,"$31,303.10",4013020572
BANNER'S  HALLMARK SHOP 61,1000055874,5057270686,10/02/2025,,CHRISTMAS,Invoice,OPEN,"$6,678.34",4013020575
BANNER'S  HALLMARK SHOP 61,1000055874,5057270690,10/02/2025,,EVERYDAY,Invoice,OPEN,$28.80,4013020575
BANNER'S  HALLMARK SHOP 61,1000055874,5057332394,10/02/2025,,CHRISTMAS,Invoice,OPEN,"$2,109.00",4013020579
BANNER'S  HALLMARK SHOP 61,1000055874,5057332396,10/02/2025,,CHRISTMAS,Invoice,OPEN,"$1,312.00",4013032086
BANNER'S  HALLMARK SHOP 61,1000055874,5057198299,10/01/2025,,CHRISTMAS,Invoice,OPEN,"$4,382.49",4013020570
BANNER'S  HALLMARK SHOP 61,1000055874,5057198300,10/01/2025,,EVERYDAY,Invoice,OPEN,$14.06,4013020570
BANNER'S  HALLMARK SHOP 61,1000055874,5057198301,10/01/2025,,CHRISTMAS,Invoice,OPEN,"$8,926.01",4013022086
BANNER'S  HALLMARK SHOP 61,1000055874,5057199671,10/01/2025,,HLWN EID(RAMADN),Invoice,OPEN,"$3,819.40",4013020569
BANNER'S  HALLMARK SHOP 61,1000055874,5057199672,10/01/2025,,THANKSGIVING,Invoice,OPEN,$576.77,4013020569
BANNER'S  HALLMARK SHOP 61,1000055874,5057200113,10/01/2025,,HLWN EID(RAMADN),Invoice,OPEN,$806.90,4013029110
BANNER'S  HALLMARK SHOP 61,1000055874,5057200114,10/01/2025,,THANKSGIVING,Invoice,OPEN,$794.40,4013029110
BANNER'S  HALLMARK SHOP 61,1000055874,5057202692,10/01/2025,,CHRISTMAS,Invoice,OPEN,"$18,221.30",4013020571
BANNER'S  HALLMARK SHOP 61,1000055874,5057267758,10/01/2025,OCT WINNG FEE,,Debit Memo,PAID,$296.00,
BANNER'S  HALLMARK SHOP 61,1000055874,5057267762,10/01/2025,Oct Smartlync Fee,,Debit Memo,PAID,$30.00,
BANNER'S HALLMARK SHOP 1403,1000004735,5059113845,10/30/2025,,CHRISTMAS,Invoice,OPEN,$57.00,4013270214
BANNER'S HALLMARK SHOP 1403,1000004735,5058842871,10/27/2025,OMNI-SFS,,Credit Memo,OPEN,$-426.96,
BANNER'S HALLMARK SHOP 1403,1000004735,5058842877,10/27/2025,R001897097,,Credit Memo,OPEN,$-321.15,
BANNER'S HALLMARK SHOP 1403,1000004735,5058713614,10/24/2025,RTLR CUSTOMIZED MKTG,,Debit Memo,OPEN,$104.36,
BANNER'S HALLMARK SHOP 1403,1000004735,5058578318,10/22/2025,damage defective,,Credit Memo,OPEN,$-4.50,
BANNER'S HALLMARK SHOP 1403,1000004735,5058375343,10/20/2025,OMNI-SFS,,Credit Memo,OPEN,$-273.95,
BANNER'S HALLMARK SHOP 1403,1000004735,5058375347,10/20/2025,R001895978,,Credit Memo,OPEN,$-378.58,
BANNER'S HALLMARK SHOP 1403,1000004735,5058375353,10/20/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-60.74,
BANNER'S HALLMARK SHOP 1403,1000004735,5058176991,10/16/2025,damage defective,,Credit Memo,OPEN,$-9.00,
BANNER'S HALLMARK SHOP 1403,1000004735,5058177003,10/16/2025,10/2025 GC FEE,,Debit Memo,PAID,$475.00,
BANNER'S HALLMARK SHOP 1403,1000004735,5058179369,10/16/2025,VIP KIT,CHRISTMAS,Invoice,OPEN,$180.00,4013159680
BANNER'S HALLMARK SHOP 1403,1000004735,5058113676,10/15/2025,,CHRISTMAS,Invoice,OPEN,$110.00,4013149894
BANNER'S HALLMARK SHOP 1403,1000004735,5058114963,10/15/2025,RTLR CUSTOMIZED MKTG,,Debit Memo,OPEN,$648.72,
BANNER'S HALLMARK SHOP 1403,1000004735,5058174819,10/15/2025,VIP KIT,CHRISTMAS,Invoice,OPEN,$540.00,4013159683
BANNER'S HALLMARK SHOP 1403,1000004735,5058024885,10/14/2025,,EVERYDAY,Invoice,OPEN,$7.44,4013142845
BANNER'S HALLMARK SHOP 1403,1000004735,5057903271,10/13/2025,OMNI-SFS,,Credit Memo,OPEN,$-258.39,
BANNER'S HALLMARK SHOP 1403,1000004735,5057903276,10/13/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-45.96,
BANNER'S HALLMARK SHOP 1403,1000004735,5057903280,10/13/2025,R001894864,,Credit Memo,OPEN,$-445.43,
BANNER'S HALLMARK SHOP 1403,1000004735,5057959151,10/13/2025,,CHRISTMAS,Invoice,OPEN,$118.00,4013138463
BANNER'S HALLMARK SHOP 1403,1000004735,5057959498,10/13/2025,Damaged Deffect,,Credit Memo,OPEN,$-69.00,
BANNER'S HALLMARK SHOP 1403,1000004735,5057661990,10/08/2025,,CHRISTMAS,Invoice,OPEN,$124.00,4013077810
BANNER'S HALLMARK SHOP 1403,1000004735,5057570294,10/07/2025,,HLWN EID(RAMADN),Invoice,OPEN,$20.00,4013068919
BANNER'S HALLMARK SHOP 1403,1000004735,5057570299,10/07/2025,,THANKSGIVING,Invoice,OPEN,$2.00,4013068919
BANNER'S HALLMARK SHOP 1403,1000004735,5057465853,10/06/2025,OMNI-SFS,,Credit Memo,OPEN,$-179.69,
BANNER'S HALLMARK SHOP 1403,1000004735,5057465862,10/06/2025,R001893747,,Credit Memo,OPEN,$-223.73,
BANNER'S HALLMARK SHOP 1403,1000004735,5057333709,10/03/2025,,CHRISTMAS,Invoice,OPEN,"$7,697.15",4013020370
BANNER'S HALLMARK SHOP 1403,1000004735,5057333890,10/03/2025,,EVERYDAY,Invoice,OPEN,$25.46,4013065695
BANNER'S HALLMARK SHOP 1403,1000004735,5057265096,10/02/2025,,EVERYDAY,Invoice,OPEN,$308.94,4013020373
BANNER'S HALLMARK SHOP 1403,1000004735,5057265097,10/02/2025,,EVERYDAY,Invoice,OPEN,$144.00,4013020373
BANNER'S HALLMARK SHOP 1403,1000004735,5057265098,10/02/2025,,EVERYDAY,Invoice,OPEN,"$6,988.66",4013020373
BANNER'S HALLMARK SHOP 1403,1000004735,5057268823,10/02/2025,,CHRISTMAS,Invoice,OPEN,"$13,899.23",4013020365
BANNER'S HALLMARK SHOP 1403,1000004735,5057268837,10/02/2025,,CHRISTMAS,Invoice,OPEN,"$3,344.74",4013020372
BANNER'S HALLMARK SHOP 1403,1000004735,5057268966,10/02/2025,,CHRISTMAS,Invoice,OPEN,$143.00,4013032092
BANNER'S HALLMARK SHOP 1403,1000004735,5057331988,10/02/2025,,EVERYDAY,Invoice,OPEN,"$6,606.10",4013020371
BANNER'S HALLMARK SHOP 1403,1000004735,5057332008,10/02/2025,,EVERYDAY,Invoice,OPEN,$9.22,4013020371
BANNER'S HALLMARK SHOP 1403,1000004735,5057332016,10/02/2025,,CHRISTMAS,Invoice,OPEN,"$1,804.00",4013020375
BANNER'S HALLMARK SHOP 1403,1000004735,5057198076,10/01/2025,,CHRISTMAS,Invoice,OPEN,"$3,245.03",4013020366
